"","run","iter","depth","condition","cfit"
"542",3,1024,1,"combine",-7900.18915786181
"543",3,1024,1,"decon",-4378.62806857011
"544",3,1024,1,"flip",-4074.70623453308
"545",4,1,2,"construct",-3619.42647174396
"546",4,1,2,"combine",-8105.02481620672
"547",4,1,2,"decon",-4453.11645922828
"548",4,1,2,"flip",-4075.521494607
"549",4,1,1,"construct",-3897.7645953501
"550",4,1,1,"combine",-7713.09033368827
"551",4,1,1,"decon",-4311.59906542227
"552",4,1,1,"flip",-3773.86178029478
"553",4,2,2,"construct",-3674.64992457713
"554",4,2,2,"combine",-7754.74455275777
"555",4,2,2,"decon",-4424.8302527521
"556",4,2,2,"flip",-3805.27761900945
"557",4,2,1,"construct",-4093.15763626489
"558",4,2,1,"combine",-8279.41636754852
"559",4,2,1,"decon",-4338.56026622417
"560",4,2,1,"flip",-3967.598538477
"561",4,3,2,"construct",-3636.02227737811
"562",4,3,2,"combine",-7943.63102987927
"563",4,3,2,"decon",-4798.47661812504
"564",4,3,2,"flip",-4202.06810520179
"565",4,3,1,"construct",-3639.66683355135
"566",4,3,1,"combine",-7701.54964370422
"567",4,3,1,"decon",-4332.47649945355
"568",4,3,1,"flip",-3936.1306519833
"569",4,4,2,"construct",-3712.02424760983
"570",4,4,2,"combine",-8238.62949595609
"571",4,4,2,"decon",-4764.89010453991
"572",4,4,2,"flip",-4284.42862697749
"573",4,4,1,"construct",-3879.72469746008
"574",4,4,1,"combine",-7858.84812621492
"575",4,4,1,"decon",-4264.61580801468
"576",4,4,1,"flip",-3936.74161025959
"577",4,5,2,"construct",-4116.60964537262
"578",4,5,2,"combine",-8355.44163580894
"579",4,5,2,"decon",-5012.10376330624
"580",4,5,2,"flip",-4154.30179838991
"581",4,5,1,"construct",-3657.97607183322
"582",4,5,1,"combine",-7915.4162251617
"583",4,5,1,"decon",-4328.95420872205
"584",4,5,1,"flip",-3914.0848216842
"585",4,6,2,"construct",-3720.11037587511
"586",4,6,2,"combine",-7986.59944098416
"587",4,6,2,"decon",-4596.56758013333
"588",4,6,2,"flip",-4094.52417770811
"589",4,6,1,"construct",-3738.42187189609
"590",4,6,1,"combine",-8200.42389252696
"591",4,6,1,"decon",-4328.11616466949
"592",4,6,1,"flip",-3915.61925479924
"593",4,7,2,"construct",-3642.36472004218
"594",4,7,2,"combine",-7850.51864293139
"595",4,7,2,"decon",-4593.43870205152
"596",4,7,2,"flip",-4206.49312566217
"597",4,7,1,"construct",-3853.604325928
"598",4,7,1,"combine",-7948.32849181409
"599",4,7,1,"decon",-4346.36335077671
"600",4,7,1,"flip",-4030.51058617002
"601",4,8,2,"construct",-3883.89478225253
