"","run","iter","depth","condition","cfit"
"454",3,6,1,"combine",-8548.28307702793
"455",3,6,1,"decon",-4470.216897721
"456",3,6,1,"flip",-4081.82796506011
"457",3,7,2,"construct",-3791.22646048039
"458",3,7,2,"combine",-8146.59386931026
"459",3,7,2,"decon",-4647.97092601874
"460",3,7,2,"flip",-4021.51472912724
"461",3,7,1,"construct",-3763.21534827856
"462",3,7,1,"combine",-8484.2948899332
"463",3,7,1,"decon",-4479.87956790342
"464",3,7,1,"flip",-4268.07678130574
"465",3,8,2,"construct",-3815.31092134934
"466",3,8,2,"combine",-8452.16348123974
"467",3,8,2,"decon",-4832.67793961969
"468",3,8,2,"flip",-4160.77018670521
"469",3,8,1,"construct",-3882.39068111816
"470",3,8,1,"combine",-8256.68917584879
"471",3,8,1,"decon",-4484.02555243347
"472",3,8,1,"flip",-4362.37639155711
"473",3,9,2,"construct",-3861.81391074021
"474",3,9,2,"combine",-8109.41686394377
"475",3,9,2,"decon",-4658.05557019539
"476",3,9,2,"flip",-4251.52928061566
"477",3,9,1,"construct",-3896.80942151107
"478",3,9,1,"combine",-8469.7079760424
"479",3,9,1,"decon",-4487.4792567404
"480",3,9,1,"flip",-4144.84396809938
"481",3,10,2,"construct",-4014.56258827792
"482",3,10,2,"combine",-8067.97520528513
"483",3,10,2,"decon",-4894.07940937228
"484",3,10,2,"flip",-4381.90696133346
"485",3,10,1,"construct",-3852.70036717901
"486",3,10,1,"combine",-8280.32684780706
"487",3,10,1,"decon",-4486.07159773676
"488",3,10,1,"flip",-4393.76230703831
"489",3,16,2,"construct",-3892.66695177643
"490",3,16,2,"combine",-7770.80288452781
"491",3,16,2,"decon",-4841.87425772161
"492",3,16,2,"flip",-4076.74456881509
"493",3,16,1,"construct",-3919.09726120707
"494",3,16,1,"combine",-8399.07157560839
"495",3,16,1,"decon",-4512.84824116905
"496",3,16,1,"flip",-4602.13348745794
"497",3,32,2,"construct",-3905.77614542319
"498",3,32,2,"combine",-7652.12057001665
"499",3,32,2,"decon",-4799.99520759205
"500",3,32,2,"flip",-4092.77730049847
"501",3,32,1,"construct",-3941.6236984253
"502",3,32,1,"combine",-8384.52487138878
"503",3,32,1,"decon",-4513.76951499797
"504",3,32,1,"flip",-4434.02820295558
"505",3,64,2,"construct",-3756.67305036212
"506",3,64,2,"combine",-7803.48288924205
"507",3,64,2,"decon",-4706.74340331618
"508",3,64,2,"flip",-4306.71031948931
"509",3,64,1,"construct",-3941.28962888999
"510",3,64,1,"combine",-8498.69952368649
"511",3,64,1,"decon",-4522.4454701824
"512",3,64,1,"flip",-4428.6838679681
"513",3,128,2,"construct",-3866.19493287188
"514",3,128,2,"combine",-7645.16689870593
"515",3,128,2,"decon",-4722.59677825968
"516",3,128,2,"flip",-4230.03545582078
"517",3,128,1,"construct",-3948.14544526099
"518",3,128,1,"combine",-8471.04850766876
"519",3,128,1,"decon",-4528.12143390603
"520",3,128,1,"flip",-4466.71668482157
"521",3,256,2,"construct",-3860.67226444984
"522",3,256,2,"combine",-7752.82888739997
"523",3,256,2,"decon",-4922.35595473852
"524",3,256,2,"flip",-4051.69700429276
"525",3,256,1,"construct",-3952.34497947637
"526",3,256,1,"combine",-8511.53957729192
"527",3,256,1,"decon",-4533.50817585199
"528",3,256,1,"flip",-4461.9491716314
"529",3,512,2,"construct",-3799.1131914399
"530",3,512,2,"combine",-7852.98850091633
"531",3,512,2,"decon",-4999.41882874627
"532",3,512,2,"flip",-4070.3251550354
"533",3,512,1,"construct",-3946.81048637021
"534",3,512,1,"combine",-8493.67945544358
"535",3,512,1,"decon",-4530.93875841027
"536",3,512,1,"flip",-4472.64722098138
"537",3,1024,2,"construct",-3822.87891689498
"538",3,1024,2,"combine",-7876.41037078205
"539",3,1024,2,"decon",-4982.52596683668
"540",3,1024,2,"flip",-4042.32592365135
"541",3,1024,1,"construct",-3957.63602821599
"542",3,1024,1,"combine",-8484.45769936219
"543",3,1024,1,"decon",-4537.99322007154
"544",3,1024,1,"flip",-4601.66532732424
"545",4,1,2,"construct",-3607.43973372045
"546",4,1,2,"combine",-8017.06676871299
"547",4,1,2,"decon",-4672.52265161151
"548",4,1,2,"flip",-4216.69447269382
"549",4,1,1,"construct",-3916.85778213562
"550",4,1,1,"combine",-8050.90324297545
"551",4,1,1,"decon",-4464.99450505905
"552",4,1,1,"flip",-4063.57657480617
"553",4,2,2,"construct",-3636.86617288956
"554",4,2,2,"combine",-7983.3591755244
