,pair_index,agent,recipient,result,ground_truth,model_alt,model_heur,random_choice,IG,weight
151,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L15)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
152,8,"Stone(S0,O2,L1)","Stone(S0,O0,L1)","Stone(S0,O0,L16)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
153,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L0)",1,1,0,0.058823529411764705,0.4764131289378875,0.6417112299465241
154,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L1)",0,0,1,0.058823529411764705,1.1457578449909729,0.27807486631016043
155,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L2)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
156,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L3)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
157,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L4)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
158,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L5)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
159,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L6)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
160,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L7)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
161,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L8)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
162,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L9)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
163,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L10)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
164,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L11)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
165,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L12)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
166,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L13)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
167,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L14)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
168,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L15)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
169,9,"Stone(S0,O2,L1)","Stone(S0,O0,L2)","Stone(S0,O0,L16)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
170,10,"Stone(S0,O2,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L0)",1,1,0,0.058823529411764705,0.4764131289378875,0.6417112299465241
